Company,Amount,Year
Dental Trade Alliance,60000,2013
C-Path Institute,60000,2013
American Assn of Homeopathic Pharmacists,60000,2013
Ferring BV,60000,2013
Intl Partnership for Microbicides,60000,2013
Minnesota Thermal Science,60000,2013
Melinta Therapeutics,60000,2013
MedEnvios Healthcare,60000,2013
Hyperion Therapeutics,50000,2013
American Herbal Products Assn,50000,2013
Brown's Compounding,50000,2013
Eastgate Pharmaceuticals,45000,2013
MiMedx Group,41250,2013
Merit Medical Systems,40000,2013
Magellan Diagnostics,40000,2013
Ohio Willow Wood,40000,2013
Orasure Technologies,40000,2013
Immediate Response Technologies,40000,2013
Intl Assn Med Equip Remark & Servicers,40000,2013
Inspirion Delivery Technologies,40000,2013
IOGEN Corp,40000,2013
Globus Medical,40000,2013
Henry Schein Inc,40000,2013
Gottfried Kellermann,40000,2013
Hearing Industries Assn,40000,2013
Eckert & Ziegler Radiation & Medical,40000,2013
Doctor Diabetic Supply,40000,2013
EP Technologies,40000,2013
Covance Inc,40000,2013
Aduro BioTech,40000,2013
Bioenterprise,40000,2013
Pharmaceutical Printed Literature Assn,40000,2013
SCOOTER Store,40000,2013
VJ Technologies,40000,2013
VeriMed,40000,2013
United Allergy Services,40000,2013
DeRoyal Industries,36832,2013
Medicis Pharmaceutical Corp,36000,2013
Research Corporation Technologies,36000,2013
Novavax Inc,32000,2013
Nanotherapeutics Inc,30000,2013
Novocure Inc,30000,2013
Medivation,30000,2013
Medline Industries,30000,2013
Humacyte Inc,30000,2013
Isis Pharmaceuticals,30000,2013
Direct Supply Inc,30000,2013
Elusys Therapeutics,30000,2013
Ekso Bionics,30000,2013
CliniComp International,30000,2013
Breckenridge Pharmaceutical,30000,2013
Cary Pharmaceuticals,30000,2013
Rempex Pharmaceuticals,30000,2013
Proven Pharmaceuticals,30000,2013
Soluble Systems,25000,2013
Amneal Pharmaceuticals,25000,2013
Alliance Surgical Distributors,25000,2013
APOPlogic Pharmaceuticals,20000,2013
Coldchain Technology Services,20000,2013
Edge Therapeutics Inc,20000,2013
Lauridsen Group,20000,2013
Pennslyvania Biotechnology Assn,20000,2013
National Prosthetic Dental Laboratories,20000,2013
Novis Pharmaceuticals,20000,2013
Genomatica,16000,2013
AcuFocus,14000,2013
Amphastar Pharmaceuticals,10000,2013
Delcath Systems,10000,2013
Cellerant Therapeutics,10000,2013
IntegenX,10000,2013
Incitor Llc,10000,2013
North American Rescue Products,10000,2013
Panflu,10000,2013
Onconova Therapeutics,10000,2013
Sigma-Aldrich Corp,10000,2013
Riverain Medical,10000,2013
Trius Therapeutics,10000,2013
Z-Medica,10000,2013
Westport Pharmaceuticals,10000,2013
Trident USA Health Services,7500,2013
Thornhill Research,5000,2013
Thoratec Corp,0,2013
Synapsin Pharmaceuticals,0,2013
Synthes,0,2013
Romark Laboratories,0,2013
Safe Life Corp,0,2013
Spectrum Pharmaceuticals,0,2013
Quality Implant Coalition,0,2013
Primus Pharmaceuticals,0,2013
Prolong Pharmaceuticals,0,2013
Promedtek Inc,0,2013
Respironics Inc,0,2013
RAMM Technologies,0,2013
Reata Pharmaceuticals,0,2013
Physician Sales & Service,0,2013
Prasco Labs,0,2013
Pittsburgh Life Sciences Greenhouse,0,2013
VSM Investors,0,2013
Twin Star Medical,0,2013
Vertos Medical,0,2013
Optimer Pharmaceuticals,0,2013
NxStage Medical,0,2013
National Assn Advancement of Orthotics/Prosthetics,0,2013
Mela Sciences Inc,0,2013
Microdermis Corp,0,2013
MEDInstill Inc,0,2013
Medical Imaging & Technology Alliance,0,2013
Illumina Inc,0,2013
Insightec Inc,0,2013
Integrated Medical Systems,0,2013
International Pharm Aerosol Consortium,0,2013
Lion-Vallen Industries,0,2013
Lannett Co,0,2013
Lasko Products,0,2013
iRhythm Technologies,0,2013
FluGen Inc,0,2013
Healthcare Waste/Emer Preparedness Cltn,0,2013
Coalition for Plant & Life Science,0,2013
Consortium for Plant Biotech Research,0,2013
ContourMed,0,2013
Cell Therapeutics,0,2013
Chrysalis Biotherapeutics,0,2013
CardioNet,0,2013
CareFusion,0,2013
Discovery Laboratories,0,2013
Cytomedix Inc,0,2013
Cure Pharmaceuticals,0,2013
CyberKnife Coalition,0,2013
EveryLife Foundation for Rare Diseases,0,2013
Eniware,0,2013
Enterix,0,2013
Antimicrobial Innovation Alliance,0,2013
Arborgen,0,2013
Association of Medical Device Reprocessors,0,2013
Bioprotection Systems,0,2013
Bioquiddity Inc,0,2013
Bioscrip Inc,0,2013
Blackrock Microsystems,0,2013
Blood Cell Storage Inc,0,2013
Breathe Technologies,0,2013
Admetech,0,2013
Advanced Diabetes Supply,0,2013
Aerogen,0,2013
Accentia Biopharmaceuticals,0,2013
Accuray Inc,0,2013
Alliance for Safe Online Pharmacies,0,2013
All American Medical Supplies,0,2013
AlgiPharma AS,0,2013
American Medical Systems,0,2013
America's Specialty Medicine Companies,0,2013
American Society for Microbiology,0,2013
Pharmaceutical Research & Manufacturers of America,17225000,2014
Amgen Inc,8560000,2014
Pfizer Inc,8483000,2014
Biotechnology Industry Organization,8280000,2014
Eli Lilly & Co,8216000,2014
Novartis AG,6540000,2014
Bayer AG,6186600,2014
Johnson & Johnson,5980000,2014
Sanofi,5973000,2014
Medtronic Inc,5310000,2014
Roche Holdings,4953917,2014
AbbVie Inc,4860000,2014
Merck & Co,4820000,2014
GlaxoSmithKline,4370000,2014
Pharmaceutical Care Management Assn,3834916,2014
Teva Pharmaceutical Industries,3800000,2014
Baxter International,3010000,2014
AstraZeneca PLC,2890000,2014
Gilead Sciences,2890000,2014
CH Boehringer Sohn,2840000,2014
Generic Pharmaceutical Assn,2765940,2014
Bristol-Myers Squibb,2745000,2014
Alkermes Plc,2643000,2014
Merck KGaA,2420000,2014
Allergan Inc,2380000,2014
Eisai Co Ltd,2370000,2014
AdvaMed,2360000,2014
Novo Nordisk Pharmaceuticals,2340000,2014
Abbott Laboratories,2200000,2014
Covidien Ltd,2190000,2014
Cardinal Health,2070000,2014
Actavis Inc,2010000,2014
Herbalife International,1905000,2014
Astellas Pharma,1810000,2014
Celgene Corp,1778000,2014
Boston Scientific Corp,1740489,2014
Smith & Nephew,1740000,2014
Biogen Idec,1700000,2014
AmerisourceBergen Corp,1700000,2014
Shire Plc,1550000,2014
Takeda Pharmaceutical Co,1481000,2014
Endo Health Solutions,1460000,2014
Cubist Pharmaceuticals,1380000,2014
Elekta AB,1345000,2014
Sumitomo Chemical,1340000,2014
Mylan Inc,1260000,2014
McKesson Corp,1253000,2014
Otsuka Pharmaceutical,1230000,2014
Vertex Pharmaceuticals,1160000,2014
Cook Group,1140000,2014
Healthcare Distribution Management Assn,1118413,2014
Alexion Pharmaceuticals,1105000,2014
Lumara Health,1100000,2014
Hospira Inc,1030000,2014
Consumer Healthcare Products Assn,1010000,2014
Mallinckrodt Inc,980000,2014
Alere Inc,969000,2014
Edwards Lifesciences,890000,2014
Colgate-Palmolive Co,850000,2014
Academy of Managed Care Pharmacies,847000,2014
Purdue Pharma,810000,2014
St Jude Medical,795000,2014
Amarin Corp,760000,2014
Varian Medical Systems,710000,2014
CSL Ltd,680000,2014
"Becton, Dickinson & Co",650000,2014
Myriad Genetics,650000,2014
Apotex Inc,640000,2014
Bavarian Nordic,617000,2014
Natural Products Assn,600000,2014
Zimmer Inc,583405,2014
Invacare Corp,573790,2014
Ikaria Inc,560000,2014
Public Access to SunScreens Coalition,560000,2014
Hill-Rom Holdings,555000,2014
Medical Device Manufacturers Assn,520000,2014
Royal Pharma Management,510000,2014
Orexigen Therapeutics Inc,504000,2014
Organogenesis Inc,490000,2014
Steris Corp,490000,2014
Jazz Pharmaceuticals,480000,2014
Pharma Industry Labor Management Assn,462500,2014
Wockhardt USA,450000,2014
Novocure Inc,440000,2014
Millennium/Takeda Oncology Co,440000,2014
Medical Information Working Group,420000,2014
Mallinckrodt Pharmaceuticals,410000,2014
Momenta Pharmaceuticals,400000,2014
Med-Care Diabetic & Medical Supplies,390000,2014
Council for Responsible Nutrition,390000,2014
Cure Care,380000,2014
Ranbaxy Inc,380000,2014
DEA Scheduling Coalition,370000,2014
Millennium Laboratories,370000,2014
Lundbeck Inc,340000,2014
UCB Inc,340000,2014
Genomic Health Inc,330000,2014
Daiichi Sankyo Inc,330000,2014
Welch Allyn Inc,327084,2014
Vifor Pharma,320000,2014
American Orthotic & Prosthetic Assn,320000,2014
Medical Device Competitiveness Coalition,320000,2014
FUJIFILM Pharmaceutical USA,310000,2014
Symbiomix Theraputics,305000,2014
Biomarin Pharmaceutical,290000,2014
Perrigo Co,290000,2014
Nu Skin Enterprises,280000,2014
Nektar Therapeutics,280000,2014
Intuitive Surgical,265000,2014
Alliance to Prevent the Abuse of Medicines,262500,2014
Sarepta Therapeutics,260000,2014
Plasma Protein Therapeutics Assn,254349,2014
Sorenson Communications,250000,2014
Mead Johnson Nutritional,250000,2014
Hologic Inc,240000,2014
Apollo Global Management,240000,2014
Ferring BV,240000,2014
Council on Radionuclides & Radiopharm,240000,2014
VeriMed,240000,2014
Pride Mobility Products,240000,2014
Questcor Pharmaceuticals,240000,2014
Nipro Diagnostics,235000,2014
Healthcare Institute of New Jersey,222559,2014
Philips,220000,2014
Raptor Pharmaceuticals,220000,2014
Zogenix Inc,220000,2014
Assn of Clinical Research Organizations,215000,2014
Coqui RadioPharmaceuticals,212531,2014
Biocryst Pharmaceuticals,210000,2014
American Neuromonitoring Assn,200000,2014
Djo Inc,200000,2014
North Carolina Biotechnology Center,200000,2014
Hollister Inc,200000,2014
Vivus Inc,200000,2014
Translational Genomics Research Inst,200000,2014
Natl Coalition For Assistive/Rehab Tech,198000,2014
CCS Medical,196444,2014
Catalyst Health Solutions,195000,2014
Forest Laboratories,190000,2014
Derma Sciences,180000,2014
Diabetes Access to Care Coalition,180000,2014
CliniComp International,180000,2014
Breathe Technologies,180000,2014
Achaogen,180000,2014
Pfenex Inc,180000,2014
Kaleo Inc,180000,2014
Stryker Corp,180000,2014
iWalk Inc,170000,2014
Accuray Inc,170000,2014
Brown's Compounding,160000,2014
Canada International Pharmacy Assn,160000,2014
Convatec,160000,2014
PharMEDium Services,160000,2014
Mobilex USA,160000,2014
SIGA Technologies,160000,2014
Sandesara Group,155000,2014
Health Industry Distributors Assn,155000,2014
Regeneron Pharmaceuticals,152000,2014
Institut Merieux,150000,2014
Intersect ENT,150000,2014
Intl Contrast Ultrasound Society,150000,2014
Kinetic Concepts,150000,2014
PillGuard Medication Delivery Systems,150000,2014
Neuralstem,150000,2014
Avanir Pharmaceuticals,150000,2014
Amneal Pharmaceuticals,150000,2014
PharmAthene Inc,147512,2014
Pozen Inc,144000,2014
Academy of Radiology Research,140000,2014
Alfred Mann Foundation,140000,2014
Auxilium Pharmaceuticals,140000,2014
Dendreon Corp,140000,2014
Cochlear Corp,140000,2014
DexCom,140000,2014
Exact Sciences Corp,140000,2014
Viatronix Inc,132500,2014
Zimmer Holdings,130000,2014
Inspirion Delivery Technologies,130000,2014
Gordian Medical Inc,130000,2014
United Natural Products Alliance,125000,2014
Valneva SE,124000,2014
Verax Biomedical,120000,2014
Temp Time Inc,120000,2014
Prolacta Bioscience,120000,2014
Quintiles Transnational,120000,2014
Royal DSM NV,120000,2014
RTI Biologics,120000,2014
VGM Group,120000,2014
Hyperion Therapeutics,120000,2014
Marathon Pharmaceuticals,120000,2014
PDP Holdings,120000,2014
Onyx Pharmaceuticals,120000,2014
Omeros Corp,120000,2014
Medicines Co,120000,2014
Melinta Therapeutics,120000,2014
National Disease Research Interchange,120000,2014
Ekso Bionics,120000,2014
CR Bard Inc,120000,2014
Calspan-Univ of Buffalo Research Center,120000,2014
Intersystems Corp,115000,2014
Healiance Pharmaceuticals,115000,2014
Heartware Inc,110000,2014
ViroPharma Inc,110000,2014
Valeant Pharmaceutical North America,110000,2014
Texas Biomedical Research Institute,110000,2014
Insulet Corp,105000,2014
CyberKnife Coalition,105000,2014
FujiFilm,100000,2014
Inspirion Pharmaceuticals,100000,2014
XOMA,100000,2014
Grifols Inc,95000,2014
Gary & Mary West Health Institute,95000,2014
Direct Supply Inc,90000,2014
doTERRA International,90000,2014
Bone Growth Stimulator Coalition,90000,2014
Amphastar Pharmaceuticals,90000,2014
Pathcon Laboratories,90000,2014
Trident USA Health Services,90000,2014
SAB Biotherapeutics,90000,2014
Rempex Pharmaceuticals,90000,2014
OPKO Health,85000,2014
Pharmaceutical Dist Security Alliance,80000,2014
Natl Assn Public Health Stat & Info Syst,80000,2014
IntegenX,80000,2014
Masimo Corp,80000,2014
Magellan Diagnostics,80000,2014
Luminex Corp,80000,2014
Life Technologies Corp,80000,2014
Lauridsen Group,80000,2014
Amber Pharmacy,80000,2014
Abiomed Inc,80000,2014
Aqua Bounty Technologies,80000,2014
Armedica Inc,80000,2014
DermaTran Health Solutions,80000,2014
EO2 Concepts,80000,2014
Cyberonics Inc,80000,2014
Dental Trade Alliance,80000,2014
Coldchain Technology Services,80000,2014
Cerus Corp,80000,2014
Salutopia Inc,80000,2014
Truven Health Analytics,80000,2014
Sucampo Pharmaceuticals,80000,2014
Z-Medica,70000,2014
VJ Technologies,70000,2014
Center of Innovation for Nanobiotechnology,70000,2014
Chelsea Therapeutics,70000,2014
Arteriocyte Inc,70000,2014
Merit Medical Systems,70000,2014
Salix Pharmaceuticals,66000,2014
Massachusetts Biotechnology Council,65000,2014
Philadelphia Health & Education Corp,60039,2014
Orexo US,60000,2014
Orthocare Innovations,60000,2014
Natl Cltn of Pharmaceutical Distributors,60000,2014
Medefil Inc,60000,2014
Intl Partnership for Microbicides,60000,2014
Integrated Diagnostics,60000,2014
Healthcare Nutrition Council,60000,2014
C-Path Institute,60000,2014
Biomet Inc,60000,2014
All American Medical Supplies,60000,2014
Amag Pharmaceuticals,60000,2014
American Assn of Homeopathic Pharmacists,60000,2014
Cleveland BioLabs,60000,2014
EP Technologies,60000,2014
Food Allergy Research & Education,60000,2014
Teleflex Inc,60000,2014
Zydus Pharmaceuticals,60000,2014
MiMedx Group,58750,2014
Novavax Inc,55000,2014
Jackson Laboratory,50000,2014
American Herbal Products Assn,50000,2014
Xenex Disinfection Services,50000,2014
United States Medical Supply,50000,2014
Reckitt Benckiser Plc,50000,2014
Dr Reddy's Laboratories,48000,2014
Nanotherapeutics Inc,45000,2014
Ohio Willow Wood,40000,2014
Orasure Technologies,40000,2014
Pharmaceutical Printed Literature Assn,40000,2014
Hearing Industries Assn,40000,2014
Intl Assn Med Equip Remark & Servicers,40000,2014
Dynavax Technologies,40000,2014
DeRoyal Industries,40000,2014
EveryLife Foundation for Rare Diseases,40000,2014
Covance Inc,40000,2014
Cempra Pharmaceuticals,40000,2014
Aduro BioTech,40000,2014
Trygg Pharma,40000,2014
Research Corporation Technologies,36000,2014
OrthoWorx,32000,2014
Osiris Therapeutics,30000,2014
Nestle SA,30000,2014
HemispheRx Biopharma,30000,2014
Henry Schein Inc,30000,2014
Gottfried Kellermann,30000,2014
Leading BioSciences,30000,2014
Medicago,30000,2014
Alliance Surgical Distributors,30000,2014
Athena ISG/GTXtreme,30000,2014
Soluble Systems,30000,2014
ZAG Group,30000,2014
AcuFocus,21000,2014
Chimerix,20000,2014
Concordia Pharmaceuticals,20000,2014
Fresenius Medical Care,20000,2014
Invitae Inc,20000,2014
HTG Molecular Diagnostics,20000,2014
Panflu,20000,2014
Organovo Inc,20000,2014
Pennslyvania Biotechnology Assn,20000,2014
Westport Pharmaceuticals,20000,2014
sBioMed,20000,2014
SHINE Medical Technologies,20000,2014
Sanofi-Aventis,13000,2014
Medivation,13000,2014
MediGLIDER Corp,10000,2014
Moroccanoil Israel,10000,2014
Nanobiosym Inc,10000,2014
National Center for Genome Resources,10000,2014
Globus Medical,10000,2014
IOGEN Corp,10000,2014
Consortium for Plant Biotech Research,10000,2014
Arrow International,10000,2014
Biomedical Research Institute,8000,2014
Vertos Medical,8000,2014
Thoratec Corp,0,2014
Titan Spine LLC,0,2014
TPG Capital,0,2014
Spectrum Pharmaceuticals,0,2014
Synapsin Pharmaceuticals,0,2014
Rotech Healthcare,0,2014
Respironics Inc,0,2014
Qiagen NV,0,2014
Prolong Pharmaceuticals,0,2014
Promedtek Inc,0,2014
Protein Sciences Corp,0,2014
Prasco Labs,0,2014
Primus Pharmaceuticals,0,2014
Wistar Institute,0,2014
VSM Investors,0,2014
VisionCare Ophthalmic Technologies,0,2014
Bexion Pharmaceuticals,0,2014
Breckenridge Pharmaceutical,0,2014
APOPlogic Pharmaceuticals,0,2014
Association of Medical Device Reprocessors,0,2014
Admetech,0,2014
Aerogen,0,2014
AlgiPharma AS,0,2014
Alliance for Safe Online Pharmacies,0,2014
America's Specialty Medicine Companies,0,2014
American Medical Systems,0,2014
American Society for Microbiology,0,2014
Antimicrobial Innovation Alliance,0,2014
Chrysalis Biotherapeutics,0,2014
Cellerant Therapeutics,0,2014
Cytomedix Inc,0,2014
FluGen Inc,0,2014
Eastgate Pharmaceuticals,0,2014
Eckert & Ziegler Radiation & Medical,0,2014
Eniware,0,2014
Enterix,0,2014
Isis Pharmaceuticals,0,2014
Lannett Co,0,2014
Medical Imaging & Technology Alliance,0,2014
MedEnvios Healthcare,0,2014
Mast Therapeutics,0,2014
Haemonetics Corp,0,2014
Immediate Response Technologies,0,2014
Independence Medical,0,2014
Indivior,0,2014
Infinia Corp,0,2014
Insightec Inc,0,2014
Integrated Medical Systems,0,2014
International Pharm Aerosol Consortium,0,2014
National Assn Advancement of Orthotics/Prosthetics,0,2014
National Prosthetic Dental Laboratories,0,2014
Mobile Medical International Corp,0,2014
Orthosensor Inc,0,2014
Onconova Therapeutics,0,2014
Pharmaceutical Research & Manufacturers of America,18930000,2015
Amgen Inc,10525000,2015
Pfizer Inc,9417650,2015
Biotechnology Industry Organization,8350000,2015
Bayer AG,7650000,2015
Eli Lilly & Co,7165000,2015
Novartis AG,6792500,2015
Johnson & Johnson,6350000,2015
Sanofi,5899000,2015
Roche Holdings,5677320,2015
Merck & Co,5540000,2015
AbbVie Inc,5220000,2015
Allergan plc,4550000,2015
GlaxoSmithKline,4075000,2015
Teva Pharmaceutical Industries,4070000,2015
Medtronic Inc,4011000,2015
Alkermes Plc,4007200,2015
Generic Pharmaceutical Assn,3320000,2015
AstraZeneca PLC,3048733,2015
Gilead Sciences,2940000,2015
Bristol-Myers Squibb,2910000,2015
AdvaMed,2900000,2015
Astellas Pharma,2510000,2015
Cardinal Health,2490000,2015
Abbott Laboratories,2480000,2015
Pharmaceutical Care Management Assn,2464401,2015
Baxter International,2390000,2015
Shire Plc,2377500,2015
Celgene Corp,2260000,2015
Biogen,2230000,2015
CH Boehringer Sohn,2170000,2015
Express Scripts,2160000,2015
Eisai Co Ltd,2110000,2015
Novo Nordisk Pharmaceuticals,2052500,2015
Merck KGaA,1900000,2015
AmerisourceBergen Corp,1840000,2015
Boston Scientific Corp,1640000,2015
Smith & Nephew,1610000,2015
Sorenson Communications,1580000,2015
Mylan Inc,1550000,2015
Sumitomo Chemical,1360000,2015
Vertex Pharmaceuticals,1360000,2015
McKesson Corp,1329000,2015
Takeda Pharmaceutical Co,1290000,2015
Endo Health Solutions,1260000,2015
Otsuka Pharmaceutical,1230000,2015
Healthcare Distribution Management Assn,1226553,2015
"Becton, Dickinson & Co",1220000,2015
Alexion Pharmaceuticals,1200000,2015
Medical Device Manufacturers Assn,1200000,2015
Herbalife International,1020000,2015
Cook Group,1020000,2015
California Life Sciences Assn,1014000,2015
Edwards Lifesciences,1000000,2015
Mallinckrodt Inc,1000000,2015
Consumer Healthcare Products Assn,965000,2015
Academy of Managed Care Pharmacies,921000,2015
Apotex Inc,890000,2015
Hospira Inc,860000,2015
St Jude Medical,770000,2015
Purdue Pharma,720000,2015
Varian Medical Systems,710000,2015
CSL Ltd,700000,2015
Bavarian Nordic,680000,2015
Alere Inc,660000,2015
Zimmer Biomet,640770,2015
Elekta AB,640000,2015
Hill-Rom Holdings,620000,2015
Myriad Genetics,600000,2015
Colgate-Palmolive Co,580000,2015
Invacare Corp,575511,2015
Steris Corp,570000,2015
Pharma Industry Labor Management Assn,520000,2015
UCB Inc,512000,2015
Mead Johnson Nutritional,490000,2015
Jazz Pharmaceuticals,480000,2015
Covidien Ltd,480000,2015
Arbor Pharmaceuticals,450000,2015
Medical Information Working Group,450000,2015
IKARIA Inc,430000,2015
Perrigo Co,430000,2015
Sarepta Therapeutics,430000,2015
Assn of Clinical Research Organizations,420000,2015
Grifols Inc,410000,2015
Omeros Corp,410000,2015
Momenta Pharmaceuticals,400000,2015
Horizon Pharma,400000,2015
Daiichi Sankyo Inc,380000,2015
Council for Responsible Nutrition,380000,2015
Nektar Therapeutics,370000,2015
Novocure Inc,360000,2015
Avanir Pharmaceuticals,360000,2015
Public Access to SunScreens Coalition,360000,2015
Regeneron Pharmaceuticals,350000,2015
Marathon Pharmaceuticals,350000,2015
Med-Care Diabetic & Medical Supplies,340000,2015
Bosarge Life Sciences,340000,2015
Natl Coalition For Assistive/Rehab Tech,330500,2015
Medical Device Competitiveness Coalition,320000,2015
Mallinckrodt Pharmaceuticals,320000,2015
Lundbeck Inc,320000,2015
American Orthotic & Prosthetic Assn,320000,2015
Sun Pharmaceutical Industries,320000,2015
Natural Products Assn,300000,2015
Healthcare Institute of New Jersey,299815,2015
Plasma Protein Therapeutics Assn,287057,2015
Rotech Healthcare,280000,2015
Nestle SA,280000,2015
Nu Skin Enterprises,280000,2015
Center of Innovation for Nanobiotechnology,280000,2015
Diabetes Access to Care Coalition,270000,2015
Exact Sciences Corp,270000,2015
Valeant Pharmaceutical North America,260000,2015
DexCom,250000,2015
Biosimilars Forum,240000,2015
Amag Pharmaceuticals,240000,2015
Biocryst Pharmaceuticals,240000,2015
Apollo Global Management,240000,2015
Hologic Inc,240000,2015
iWalk Inc,240000,2015
Kaleo Inc,240000,2015
Melinta Therapeutics,240000,2015
Verax Biomedical,240000,2015
Welch Allyn Inc,240000,2015
Samumed LLC,240000,2015
Pride Mobility Products,240000,2015
Vifor Pharma,230000,2015
Xenex Disinfection Services,230000,2015
XOMA,230000,2015
Medicines Co,230000,2015
BioMarin Pharmaceutical,230000,2015
Braeburn Pharmaceuticals,220000,2015
Council on Radionuclides & Radiopharm,220000,2015
Orexo AB,220000,2015
GW Pharma,220000,2015
Mobilex USA,210000,2015
Alliance to Prevent the Abuse of Medicines,210000,2015
Achaogen,200000,2015
Djo Inc,200000,2015
Derma Sciences,200000,2015
Health Industry Distributors Assn,200000,2015
Fagron NV,200000,2015
Hollister Inc,200000,2015
Wockhardt USA,200000,2015
Translational Genomics Research Inst,200000,2015
Stryker Corp,190000,2015
Human Longevity Inc,190000,2015
Ferring BV,180000,2015
North Carolina Biotechnology Center,180000,2015
Cipla Ltd,180000,2015
CliniComp International,180000,2015
Pfenex Inc,180000,2015
Alnylam Pharmaceuticals,177562,2015
Amneal Pharmaceuticals,170000,2015
Cempra Pharmaceuticals,170000,2015
HTG Molecular Diagnostics,170000,2015
Insulet Corp,165000,2015
Intuitive Surgical,160000,2015
Intl Contrast Ultrasound Society,160000,2015
Humacyte Inc,160000,2015
Organogenesis Inc,160000,2015
Coalition for Patient Vision Care Safety,160000,2015
Coherus Biosciences,160000,2015
Canada International Pharmacy Assn,160000,2015
Convatec,160000,2015
DEA Scheduling Coalition,160000,2015
Antimicrobial Innovation Alliance,160000,2015
SIGA Technologies,160000,2015
QuintilesIMS Inc,160000,2015
Raptor Pharmaceuticals,160000,2015
CaptureRx,154000,2015
FUJIFILM Pharmaceutical USA,150000,2015
ReWalk Robotics,150000,2015
Osiris Therapeutics,150000,2015
Philips,150000,2015
Viatronix Inc,150000,2015
Zogenix Inc,150000,2015
Pozen Inc,144000,2015
Millennium Laboratories,142000,2015
Banner Life Sciences,140000,2015
PharMEDium Services,140000,2015
Vivus Inc,140000,2015
Pernix Therapeutics,130000,2015
Accuray Inc,130000,2015
Concordia Pharmaceuticals,130000,2015
Direct Supply Inc,130000,2015
Ekso Bionics,130000,2015
Organovo Inc,130000,2015
EP Technologies,130000,2015
Gordian Medical Inc,130000,2015
Nipro Diagnostics,125000,2015
ZAG Group,124000,2015
Dr Reddy's Laboratories,123000,2015
CR Bard Inc,120000,2015
Chimerix,120000,2015
Onyx Pharmaceuticals,120000,2015
National Disease Research Interchange,120000,2015
EveryLife Foundation for Rare Diseases,120000,2015
Elusys Therapeutics,120000,2015
Integrated Diagnostics,120000,2015
Zydus Pharmaceuticals,120000,2015
Zynerba Pharmaceuticals,120000,2015
TherapeuticsMD,120000,2015
Titan Spine LLC,120000,2015
Temp Time Inc,120000,2015
VGM Group,120000,2015
United Natural Products Alliance,120000,2015
Prolacta Bioscience,120000,2015
Royal DSM NV,120000,2015
RTI Biologics,120000,2015
InfuSystem,115000,2015
Numotion,114000,2015
Spectrum Pharmaceuticals,111000,2015
IntegenX,110000,2015
Heartware Inc,110000,2015
Breathe Technologies,110000,2015
BFO Life Sciences,110000,2015
Amphastar Pharmaceuticals,100000,2015
doTERRA International,100000,2015
Hearing Industries Assn,100000,2015
Intersystems Corp,100000,2015
Mast Therapeutics,100000,2015
Coqui RadioPharmaceuticals,99193,2015
Academy of Radiology Research,98000,2015
OrthoWorx,96000,2015
Telecare Global,90000,2015
Trident USA Health Services,90000,2015
Atossa Genetics,90000,2015
DeRoyal Industries,90000,2015
Katena Products,90000,2015
Leading BioSciences,90000,2015
Life Technologies Corp,90000,2015
Natl Cltn of Pharmaceutical Distributors,90000,2015
Patheon Inc,84000,2015
Zoll Medical,80000,2015
Z-Medica,80000,2015
Neuralstem,80000,2015
Magellan Diagnostics,80000,2015
Masimo Corp,80000,2015
Massachusetts Biotechnology Council,80000,2015
Luminex Corp,80000,2015
Merit Medical Systems,80000,2015
Indivior,80000,2015
Henry Schein Inc,80000,2015
Genomic Health Inc,80000,2015
FujiFilm,80000,2015
Dental Trade Alliance,80000,2015
DermaTran Health Solutions,80000,2015
Dynavax Technologies,80000,2015
Calspan-Univ of Buffalo Research Center,80000,2015
Brown's Compounding,80000,2015
Cerus Corp,80000,2015
Athena ISG/GTXtreme,80000,2015
Bicon Dental Implants,80000,2015
Arteriocyte Inc,80000,2015
Aqua Bounty Technologies,80000,2015
Abiomed Inc,80000,2015
Amber Pharmacy,80000,2015
American Assn of Homeopathic Pharmacists,80000,2015
Turing Pharmaceuticals,75000,2015
Coalition to Advance Dietary Supplements,72000,2015
Coldchain Technology Services,70000,2015
Amarin Corp,70000,2015
Aduro BioTech,70000,2015
Healthcare Nutrition Council,70000,2015
Lauridsen Group,70000,2015
Phadia US,70000,2015
Acorda Therapeutics,67500,2015
Philadelphia Health & Education Corp,60146,2015
Spark Therapeutics,60000,2015
VeriMed,60000,2015
Advaxis Inc,60000,2015
American Herbal Products Assn,60000,2015
C-Path Institute,60000,2015
Cormedix Inc,60000,2015
Cyberonics Inc,60000,2015
Gary & Mary West Health Institute,60000,2015
Insightec Inc,60000,2015
Institut Merieux,60000,2015
Intl Partnership for Microbicides,60000,2015
Cubist Pharmaceuticals,57500,2015
Armedica Inc,55000,2015
Auxilium Pharmaceuticals,50000,2015
Actelion Pharmaceuticals US,50000,2015
Invitae Inc,50000,2015
Harmar Mobility,50000,2015
Natl Assn Public Health Stat & Info Syst,50000,2015
Sucampo Pharmaceuticals,50000,2015
Prothena Biosciences,50000,2015
Pharma & Biopharma Outsourcing Assn,50000,2015
Valneva SE,45000,2015
United States Medical Supply,40000,2015
Truven Health Analytics,40000,2015
Orthosensor Inc,40000,2015
Pharmaceutical Printed Literature Assn,40000,2015
MiMedx Group,40000,2015
Ohio Willow Wood,40000,2015
Novavax Inc,40000,2015
Orasure Technologies,40000,2015
All American Medical Supplies,40000,2015
Analogic Corp,40000,2015
Antares Pharma,40000,2015
